GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todowithgist,com.project.todowithgist.payload,ProjectPayload,0,58,0,0,0,17,0,9,0,9
todowithgist,com.project.todowithgist.payload,ResponseHeader,0,58,0,0,0,17,0,9,0,9
todowithgist,com.project.todowithgist.payload,TodoPayload,0,68,0,0,0,21,0,11,0,11
todowithgist,com.project.todowithgist.payload,GistResponse,0,34,0,0,0,8,0,6,0,6
todowithgist,com.project.todowithgist.payload,GistRequest,4,41,0,0,2,10,1,5,1,5
todowithgist,com.project.todowithgist.configuration,CustomFilter,20,37,2,6,4,10,2,5,0,3
todowithgist,com.project.todowithgist.configuration,TodoAppConfigurationWebSecurityConfigurer,0,86,0,0,0,12,0,4,0,4
todowithgist,com.project.todowithgist.configuration,WebMvcConfig,0,56,0,0,0,9,0,2,0,2
todowithgist,com.project.todowithgist.service,GistService,124,252,7,7,23,50,6,8,1,6
todowithgist,com.project.todowithgist.service,ProjectService,17,80,0,0,3,16,1,6,1,6
todowithgist,com.project.todowithgist.service,TodoService,3,58,0,0,0,10,0,6,0,6
todowithgist,com.project.todowithgist.rest,TodoAPI,21,59,0,0,8,13,0,4,0,4
todowithgist,com.project.todowithgist.rest,GistAPI,6,23,0,0,3,6,0,2,0,2
todowithgist,com.project.todowithgist.rest,ProjectAPI,29,84,0,0,11,18,0,5,0,5
todowithgist,com.project.todowithgist.utils,CommonConstants,3,7,0,0,1,3,1,1,1,1
todowithgist,com.project.todowithgist.security,CustomOAuth2UserService,49,3,2,0,10,1,3,1,2,1
todowithgist,com.project.todowithgist,TodowithgistApplication,5,3,0,0,2,1,1,1,1,1
todowithgist,com.project.todowithgist.domain,Project,18,223,4,42,7,63,5,34,1,15
todowithgist,com.project.todowithgist.domain,Todo,3,43,0,0,1,19,1,9,1,9
todowithgist,com.project.todowithgist.domain,User,9,64,0,0,4,20,2,9,2,9
